Player,PLAYER_ID,Averages 25+ PPG?,Averages 20+ PPG?,Averages 15+ PPG?,Averages 10+ PPG?,Averages 10+ RPG?,Averages 5+ RPG?,Averages 7+ APG?,Averages 4+ APG?,Averages 1.5+ SPG?,Averages 1+ SPG?,Averages 1.5+ BPG?,Averages 1+ BPG?,Averages 3+ 3PM?,Averages 1+ 3PM?,Averages 30+ min per game?,Averages 20+ min per game?,Shoots 50%+ from the field?,Shoots 35%+ from three?,Shoots 80%+ from the line?,Averages 3+ offensive rebounds?,Averages 3+ turnovers?,Played 50+ games this season?,Played 70+ games this season?,Plays in the Eastern Conference?,Plays in the Western Conference?,Plays in the Atlantic Division?,Plays in the Central Division?,Plays in the Southeast Division?,Plays in the Northwest Division?,Plays in the Pacific Division?,Plays in the Southwest Division?,Is his jersey number less than 10?,Is his jersey number between 10 and 19?,Is his jersey number between 20 and 29?,Is his jersey number 30 or higher?,Is his jersey number an odd number?,Is he from the United States?,Is he from Europe?,Is he from Africa?,Is he from Canada?,Is he from Australia?,Is he from South America?,Did he play college basketball?,MPG,Is he 25 or younger?,Is he 30 or older?,Is he 6-8 or taller?,Is he 7 feet or taller?,Was he a first-round pick?,Was he a lottery pick (top 14)?,Was he undrafted?,Averages 5+ APG?,Averages 8+ RPG?,Shoots 40%+ from three?,Does his last name start with A-M?,Does his first name start with A-M?,Does his last name have more than 6 letters?,Does his first name end in a vowel?,Has he been an All-Star?,Has he been an All-Star 3+ times?,Has he won an NBA Championship?,Has he been All-NBA?,Has he won the MVP award?,Has he won Defensive Player of the Year?,Has he made an All-Defensive Team?
Donte DiVincenzo,1628978,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,30.42,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
Dorian Finney-Smith,1627827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,16.77,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Doug McDermott,203926,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,15.14,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Drake Powell,1642962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,20.94,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Draymond Green,203110,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,27.48,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1
Drew Eubanks,1629234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,13.15,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Drew Peterson,1641809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.71,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Drew Timme,1631166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,8.71,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Dru Smith,1630696,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,16.3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Duncan Robinson,1629130,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,27.44,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Duop Reath,1641871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.07,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Dwight Powell,203939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,14.36,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dylan Cardwell,1642928,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,20.6,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Dylan Harper,1642844,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,22.58,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Dyson Daniels,1630700,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,33.15,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1
E.J. Liddell,1630604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,13.43,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Egor Dëmin,1642856,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,25.16,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Elijah Harkless,1641989,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,20.95,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Emanuel Miller,1641801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,6.61,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Enrique Freeman,1642402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,9.3,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Eric Gordon,201569,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12.29,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Ethan Thompson,1630679,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,20.41,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Evan Mobley,1630596,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,31.91,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1
Franz Wagner,1630532,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,29.97,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GG Jackson,1641713,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,21.41,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Gabe Vincent,1629216,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,16.59,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Garrett Temple,202066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,3.32,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Garrison Mathews,1629726,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13.07,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Gary Harris,203914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,13.77,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Gary Payton II,1627780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,15.65,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Gary Trent Jr.,1629018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,21.19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Giannis Antetokounmpo,203507,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,28.87,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1
Goga Bitadze,1629048,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,15.19,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Gradey Dick,1641711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,14.04,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Grant Nelson,1641761,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8.75,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Grant Williams,1629684,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,19.76,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Grayson Allen,1628960,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,28.77,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Guerschon Yabusele,1627824,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,15.03,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Gui Santos,1630611,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,20.52,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Harrison Barnes,203084,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,25.8,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Harrison Ingram,1631127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,3.73,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Hayden Gray,1643060,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,24.75,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Haywood Highsmith,1629312,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,12.97,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Herbert Jones,1630529,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,28.36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Hugo González,1642864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,14.65,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Hunter Dickinson,1630621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,8.5,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Hunter Sallis,1642282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.67,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hunter Tyson,1641816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.71,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Immanuel Quickley,1630193,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,31.88,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Isaac Jones,1642403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,5.1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Isaac Okoro,1630171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,26.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Isaiah Collier,1642268,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,25.71,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
Isaiah Crawford,1642384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,6.58,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Isaiah Hartenstein,1628392,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,24.2,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0
Isaiah Jackson,1630543,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,16.51,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Isaiah Joe,1630198,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,21.23,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Isaiah Livers,1630587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,9.65,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Isaiah Stevens,1641815,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,14.26,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Isaiah Stewart,1630191,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22.71,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Ivica Zubac,1627826,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,30.14,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
JD Davison,1631120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,7.8,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Ja Morant,1629630,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,28.43,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0
Ja'Kobe Walter,1642266,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,20.47,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Jabari Smith Jr.,1631095,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,35.13,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Jabari Walker,1631133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,11.9,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Jacob Toppin,1631210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.37,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jaden Hardy,1630702,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,15.76,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Jaden Ivey,1631093,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18.11,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Jaden McDaniels,1630183,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,31.73,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
Jae'Sean Tate,1630256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,8.8,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jahmai Mashack,1642942,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,21.71,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Jahmir Young,1642443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,4.16,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jahmyl Telfort,1643141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jaime Jaquez Jr.,1631170,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,28.28,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Jake LaRavia,1631222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,25.14,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Jakob Poeltl,1627751,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,24.98,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jalen Brunson,1628973,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,35.0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
Jalen Duren,1631105,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,28.23,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Jalen Green,1630224,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,25.89,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Jalen Johnson,1630552,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,35.16,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
Jalen Pickett,1629618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,16.13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jalen Slawson,1641771,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,23.89,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jalen Smith,1630188,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,20.67,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jalen Suggs,1630591,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,27.61,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Jalen Williams,1631114,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,28.36,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1
Jalen Wilson,1630592,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,15.91,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jamal Cain,1631288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,12.15,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Jamal Murray,1627750,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,35.36,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0
Jamal Shead,1642347,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,22.59,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Jamaree Bouyea,1631123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,14.0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
James Harden,201935,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,34.84,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
